Program,buy_date,cohort_start_date,days_to_start,month_sale,month_start,month_diff,null_month,one_month,two_month,three_month,four_month,five_month,six_month,seven_month,eigth_month
FS,5/04/2024,6/05/2024,31,4,5,1,0,1,0,0,0,0,0,0,0
FS,5/04/2024,6/05/2024,31,4,5,1,0,1,0,0,0,0,0,0,0
FS,5/04/2024,6/05/2024,31,4,5,1,0,1,0,0,0,0,0,0,0
FS,26/04/2024,27/05/2024,31,4,5,1,0,1,0,0,0,0,0,0,0
FS,26/04/2024,27/05/2024,31,4,5,1,0,1,0,0,0,0,0,0,0
FS,3/05/2024,3/06/2024,31,5,6,1,0,1,0,0,0,0,0,0,0
FS,3/05/2024,3/06/2024,31,5,6,1,0,1,0,0,0,0,0,0,0
FS,17/05/2024,17/06/2024,31,5,6,1,0,1,0,0,0,0,0,0,0
FS,17/05/2024,17/06/2024,31,5,6,1,0,1,0,0,0,0,0,0,0
FS,17/05/2024,17/06/2024,31,5,6,1,0,1,0,0,0,0,0,0,0
CS,25/10/2024,25/11/2024,31,10,11,1,0,1,0,0,0,0,0,0,0
FS,25/10/2024,25/11/2024,31,10,11,1,0,1,0,0,0,0,0,0,0
FS,12/01/2023,13/02/2023,32,1,2,1,0,1,0,0,0,0,0,0,0
FS,23/03/2023,24/04/2023,32,3,4,1,0,1,0,0,0,0,0,0,0
FS,20/04/2023,22/05/2023,32,4,5,1,0,1,0,0,0,0,0,0,0
FS,25/05/2023,26/06/2023,32,5,6,1,0,1,0,0,0,0,0,0,0
DS,28/12/2023,29/01/2024,32,12,1,1,0,1,0,0,0,0,0,0,0
DS,18/01/2024,19/02/2024,32,1,2,1,0,1,0,0,0,0,0,0,0
FS,21/03/2024,22/04/2024,32,3,4,1,0,1,0,0,0,0,0,0,0
FS,2/05/2024,3/06/2024,32,5,6,1,0,1,0,0,0,0,0,0,0
FS,16/05/2024,17/06/2024,32,5,6,1,0,1,0,0,0,0,0,0,0
FS,22/08/2024,23/09/2024,32,8,9,1,0,1,0,0,0,0,0,0,0
FS,14/09/2023,16/10/2023,32,9,10,1,0,1,0,0,0,0,0,0,0
FS,12/09/2024,14/10/2024,32,9,10,1,0,1,0,0,0,0,0,0,0
FS,26/09/2024,28/10/2024,32,9,10,1,0,1,0,0,0,0,0,0,0
FS,26/10/2023,27/11/2023,32,10,11,1,0,1,0,0,0,0,0,0,0
FS,26/10/2023,27/11/2023,32,10,11,1,0,1,0,0,0,0,0,0,0
DS,17/10/2024,18/11/2024,32,10,11,1,0,1,0,0,0,0,0,0,0
CS,24/10/2024,25/11/2024,32,10,11,1,0,1,0,0,0,0,0,0,0
